151	Aquilia	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
152	Arbaldus	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
153	Arcadius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
154	Archangelos	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
155	Archibald	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
156	Herluin	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
159	Arnesius	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
160	Arnold	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
161	Arnolles	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
162	Arnulf	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
163	Arozola		gender-neutral	family name	import from Matrikels2-0_PublicationVersion_20230816
164	Harry	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
165	Arsenios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
166	Arslandus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
167	Arthur	Celtic or Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
168	Askanios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
169	Ascensius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
170	Assuerus	Semitic (Hebrew)?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
171	Athanasios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
174	Auchier	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
175	Audamar	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
176	Ogier	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
177	Augustinus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
178	Augustus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
179	Aujanus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
180	Aulidius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
181	Aulius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
182	Aulus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
183	Aurelianus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
184	Aurelius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
185	Autgerus	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
186	Auwertus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
187	Emmerich	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
188	Azo	Germanic?	male	given name	import from Matrikels2-0_PublicationVersion_20230816
189	Bachar	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
191	Badica	unknown	unknown	given name	import from Matrikels2-0_PublicationVersion_20230816
192	Badilo	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
193	Baierus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
195	Baldric	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
196	Baldwin	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
197	Balthasar	Semitic (Akkadian)	male	given name	import from Matrikels2-0_PublicationVersion_20230816
198	Banaudus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
199	Baptista	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
201	Barbara	Greek	female	given name	import from Matrikels2-0_PublicationVersion_20230816
202	Barbaros	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
203	Barbirius	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
204	Barnabas	Semitic (Aramaic)	male	given name	import from Matrikels2-0_PublicationVersion_20230816
206	Baronius	Romance	male	given name	import from Matrikels2-0_PublicationVersion_20230816
208	Bartholomaios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
209	Basileios	Greek	male	given name	import from Matrikels2-0_PublicationVersion_20230816
210	Bastardus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
211	Bastianus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
213	Batalis	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
214	Bavarus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
215	Bavo	Germanic	male	given name	import from Matrikels2-0_PublicationVersion_20230816
216	Beatrix	Latin	female	given name	import from Matrikels2-0_PublicationVersion_20230816
217	Beatus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
218	Bellarminus	Romance	male	given name	import from Matrikels2-0_PublicationVersion_20230816
219	Benedictus	Latin	male	given name	import from Matrikels2-0_PublicationVersion_20230816
220	Benerus	unknown	male	given name	import from Matrikels2-0_PublicationVersion_20230816
