440	Digo		male	given name
441	Dimitrius		male	given name
442	Dimpnus		male	given name
443	Dingemanus		male	given name
444	Diodorus		male	given name
445	Diogo		male	given name
446	Dion	Greek	male	given name
447	Dionisiskos	Greek	male	given name
448	Dionysios	Greek	male	given name
449	Dismas		male	given name
450	Ditzo		male	given name
451	Divinus		male	given name
452	Dochias		male	given name
453	Dochus		male	given name
454	Doco		male	given name
455	Dodinus		male	given name
456	Dodo		male	given name
457	Dodun		male	given name
458	Dolinus		male	given name
459	d'Omalius		gender-neutral	family name
460	Domanus		male	given name
461	Domeon		male	given name
462	Domicella		female	given name
463	Domicellus		male	given name
464	Dominicus	Latin	male	given name
465	Dominus	Latin	male	given name
466	Domitianus	Latin	male	given name
467	Dompnus		gender-neutral	family name
468	Don	unknown	gender-neutral	given name
469	Donaldus		male	given name
470	Donatianus	Latin	male	given name
471	Donatus	Latin	male	given name
472	Donus		male	given name
473	Doricus		male	given name
474	Droinus	unknown	male	given name
475	Dorothea		female	given name
476	Douwo		male	given name
477	Dresanus		male	given name
478	Drytherus		male	given name
479	Dubbelius		male	given name
480	Dubois	Germanic	gender-neutral	given name
481	Duco		male	given name
482	Durandus		male	given name
483	Durardus		male	given name
484	Duvo		male	given name
485	Duxit		male	given name
486	Duyna		male	given name
488	Dycort		male	given name
489	Dye	Greek	female	given name
490	Dymphnus		male	given name
491	Dympna		female	given name
492	Ecleo		male	given name
493	Ecyado		male	given name
494	Edanus		male	given name
495	Edius		male	given name
496	Edmund	Germanic	male	given name
497	Edo		male	given name
498	Edward	Germanic	male	given name
499	Eadwald	Germanic	male	given name
500	Egbert		male	given name
501	Aegidius	Latin	male	given name
502	Egilius		male	given name
503	Egisius		male	given name
504	Egmondus		male	given name
505	Egon		male	given name
506	Einmannus		male	given name
507	Elatus		male	given name
508	Elco		male	given name
509	Eleuterius		male	given name
510	Elijah	Semitic (Hebrew)	male	given name
512	Elidius		male	given name
515	Elinus		male	given name
516	Elisabeth	Semitic (Hebrew)	female	given name
517	Eliseus		male	given name
518	Elle		female	given name
519	Ellerus		male	given name
520	Elmarhusius		male	given name
521	Elst		male	given name
522	Elumdus		male	given name
523	Elvardus		male	given name
524	Embertus		male	given name
525	Emeranus		male	given name
526	Emerennana		unknown	given name
527	Emerentianus		male	given name
528	Emgrandus		male	given name
529	Emmanuel	Semitic (Hebrew)	male	given name
530	Engelbert	Germanic	male	given name
531	Enghebandus		male	given name
532	Enghelrammus		male	given name
533	Engrandus		male	given name
534	Enima		unknown	given name
535	Enno		male	given name
536	Enoch		male	given name
538	Epo		male	given name
539	Erasmos	Greek	male	given name
540	Eric		male	given name
541	Erlenwein	Germanic	gender-neutral	family name
542	Ermenfredus		male	given name
544	Ernestus		male	given name
545	Errembaut		male	given name
546	Eussaus	unknown	male	given name
547	Esculaus		male	given name
548	Etho		male	given name
549	Etonius		male	given name
550	Etthen		gender-neutral	family name
551	Eugenios	Greek	male	given name
552	Eugerus		male	given name
553	Euminius		male	given name
554	Eusebius		male	given name
555	Eustachius		male	given name
556	Eutropius		male	given name
557	Eva		female	given name
558	Evangelista	Greek	gender-neutral	given name
559	Evanus		male	given name
561	Evaristus		male	given name
562	Eberhard	Germanic	male	given name
563	Everwinus		male	given name
564	Exemperius		male	given name
565	Exupetrus		male	given name
567	Eynondus		male	given name
570	Fabertus		male	given name
571	Fabianus	Latin	male	given name
572	Fabius	Latin	male	given name
573	Fabrianus	Latin	male	given name
574	Fabricius	Latin	male	given name
575	Falcradus		male	given name
576	Famoraldus		male	given name
577	Fardrardus		male	given name
578	Fastred	Germanic	male	given name
580	Faustinus	Latin	male	given name
581	Faustus		male	given name
582	Febremandus		male	given name
583	Febuinus		male	given name
584	Fecco		male	given name
585	Felicianus	Latin	male	given name
586	Felicitas		female	given name
587	Felix	Latin	male	given name
588	Feminus		male	given name
589	Fenicus		male	given name
590	Ferdinand	Germanic	male	given name
592	Fergutius		male	given name
593	Ferricus	Germanic	male	given name
594	Fernandus	Romance	male	given name
595	Ferreolus		male	given name
598	Feyo		male	given name
599	Fiachra	Celtic	male	given name
600	Fiardus	Germanic?	male	given name
601	Fidelis		male	given name
602	Fierken		male	given name
603	Filianus	Latin	male	given name
604	Filibertus		male	given name
605	Fintonius		male	given name
606	Firmerus		male	given name
607	Firminus	Latin	male	given name
608	Fitz		male	given name
609	Flamingus		male	given name
610	Florentinus		male	given name
611	Florentius	Latin	male	given name
612	Florianus	Latin	male	given name
613	Floribertus		male	given name
614	Florimondus		male	given name
615	Florinus		male	given name
616	Floris		male	given name
617	Floritius		male	given name
618	Florus		male	given name
619	Focco		male	given name
622	Folcrinus		male	given name
623	Folguinus		male	given name
624	Folianus		male	given name
625	Folkerus		male	given name
626	Fontana		unknown	given name
627	Foppe		male	given name
628	Forceus		male	given name
629	Fortunatus		male	given name
630	Frambachus		male	given name
631	Frambertus		male	given name
633	Francisca	Latin	female	given name
635	Frasmus		male	given name
636	Frater		male	given name
637	Fraula		gender-neutral	family name
638	Frayo		male	given name
639	Fredegandus		male	given name
640	Friedrich	Germanic	male	given name
641	Freseus		male	given name
642	Fridelinus		male	given name
644	Friso		male	given name
645	Frobenius		male	given name
646	Frosluys		male	given name
647	Frubricus		male	given name
648	Frulayns		male	given name
649	Fulgentius		male	given name
650	Fungerus		male	given name
651	Furius		male	given name
652	Furseus		male	given name
653	Fysso		male	given name
655	Gabolenus	unknown	male	given name
656	Gabriel	Semitic (Hebrew)	male	given name
657	Gacentius	unknown	male	given name
658	Gadeferus	unknown	male	given name
659	Galatius		male	given name
660	Galenus		male	given name
661	Galfrid	Germanic	male	given name
662	Galicius	Latin	male	given name
663	Gallus		male	given name
664	Galpinus	unknown	male	given name
665	Gawain	Celtic	male	given name
666	Gangericus	Germanic	male	given name
667	Garchia	Basque?	male	given name
