241	Gozée	50.33461	4.35273	749
242	Grand-Leez	50.58389	4.7751	749
243	Grand-Rechain	50.60765	5.81108	749
244	Grimbergen	50.93409	4.37213	749
245	Groningen	53.21917	6.56667	748
246	Gronsveld	50.81083	5.73056	748
247	Grummelscheid	49.98343	5.87072	0
248	Gulke	50.60657	5.95614	749
249	Haaltert	50.90634	4.00093	749
250	Haarlem	52.38084	4.63683	748
251	Halen			749
252	Halle	50.73385	4.23454	749
253	Halleux	50.486547222222	5.6229583333333	749
254	Halloy	50.309486111111	5.0717888888889	749
255	Halsteren	51.52834	4.26785	748
256	Hamont	51.25332	5.54732	749
257	Hannuit	50.67142	5.07898	749
258	Harelbeke	50.85343	3.30935	749
259	Hasleto-Leodius			0
260	Hasselt	51.13975	5.64457	749
261	Hastenbeck	52.07908	9.41872	724
262	Hautheren			0
263	Havay	50.36118	3.98366	749
264	Havinnes	50.61658	3.46341	749
265	Hazebrouck	50.72374	2.53729	725
266	Heikruis	50.73506	4.1116	749
267	Heist	51.33867	3.23882	0
268	Heist-op-den-Berg	51.07537	4.72827	749
269	Heks	50.76952	5.35806	749
270	Helchteren	51.05591	5.38244	749
271	Helmond	51.48167	5.66111	0
272	Hendrik-Kapelle	50.67688	5.93009	749
273	Hengelo			0
274	Heppignies	50.4846	4.4953	749
275	Herchies	50.517	3.85	749
276	Herent	51.202778	5.448333	749
277	Herentals	51.17655	4.83248	749
278	Herenthout	51.1401	4.75572	749
279	Herk-de-Stad	50.94013	5.16636	0
280	Hermelgem	50.89321	3.68534	749
281	Herne	51.54258	7.21897	724
282	Herve	50.64083	5.79353	749
283	Herzeeuw	50.71667	3.21667	0
284	Heumen	51.765	5.84444	748
285	Heusden			749
286	Heyssensis			0
287	Hilvarenbeek	51.48583	5.1375	748
288	Hilversum	52.22333	5.17639	0
289	Hingene	51.10345	4.26904	749
290	Hoboken	51.17611	4.34844	749
291	Hocquelie			0
292	Hoei	50.51894	5.23284	749
293	Hoeilaart	50.7673	4.46835	749
294	Hoeven	51.18246	5.4039	748
295	Hoogstraten	51.40029	4.76034	749
296	Hoorn			748
297	Horrues	50.60845	4.04278	749
298	Hotton	50.26742	5.44609	749
299	Houdeng-Gœgnies	50.49032	4.17513	749
300	Hove	55.7261	12.2364	749
301	Hoyanus			0
302	Huldenberg	50.78939	4.5831	749
303	Hulsberg			0
304	Hulst	51.4275	5.545	748
305	Huppaye	50.69363	4.89415	749
306	Ieper	50.85114	2.88569	749
307	Ireland	53	-8	0
