120	Buizingen	50.74227	4.25278	749		import from Matrikels2-0_PublicationVersion_20230816
122	Bulskamp	51.04229	2.64943	749		import from Matrikels2-0_PublicationVersion_20230816
123	Bunde			748		import from Matrikels2-0_PublicationVersion_20230816
124	Bunsbeek	50.84172	4.94522	749		import from Matrikels2-0_PublicationVersion_20230816
125	Burcht	51.20393	4.34286	749		import from Matrikels2-0_PublicationVersion_20230816
126	Buret			0		import from Matrikels2-0_PublicationVersion_20230816
127	Bursel	48.48722	-2.25972	0		import from Matrikels2-0_PublicationVersion_20230816
128	Cahir	52.37694	-7.92167	307		import from Matrikels2-0_PublicationVersion_20230816
129	Cambron-Casteau	50.59108	3.88229	749		import from Matrikels2-0_PublicationVersion_20230816
130	Celles	50.6542	5.2453	749		import from Matrikels2-0_PublicationVersion_20230816
131	Céroux-Mousty	50.66089	4.5207	749		import from Matrikels2-0_PublicationVersion_20230816
132	Charleroi	50.41136	4.44448	749		import from Matrikels2-0_PublicationVersion_20230816
133	Chastre-Dame-Alerne	50.60067	4.634	749		import from Matrikels2-0_PublicationVersion_20230816
134	Chièvres	50.58787	3.80711	749		import from Matrikels2-0_PublicationVersion_20230816
135	Chimay	50.04856	4.31712	749		import from Matrikels2-0_PublicationVersion_20230816
136	Ciplet	50.61756	5.09027	749		import from Matrikels2-0_PublicationVersion_20230816
137	Clare			307		import from Matrikels2-0_PublicationVersion_20230816
138	Clocher			307		import from Matrikels2-0_PublicationVersion_20230816
139	Clonfert	53.23889	-8.05667	307		import from Matrikels2-0_PublicationVersion_20230816
140	Contaminiensis			0		import from Matrikels2-0_PublicationVersion_20230816
141	Cork	51.89797	-8.47061	307		import from Matrikels2-0_PublicationVersion_20230816
142	County of Louth	53.83333	-6.5	307		import from Matrikels2-0_PublicationVersion_20230816
143	County of Meath	53.66667	-6.66667	307		import from Matrikels2-0_PublicationVersion_20230816
144	Courcelles	48.3725	6.03759	749		import from Matrikels2-0_PublicationVersion_20230816
145	Crez			0		import from Matrikels2-0_PublicationVersion_20230816
146	Crupet	50.34957	4.96127	749		import from Matrikels2-0_PublicationVersion_20230816
147	Dadizele	50.85138	3.09468	749		import from Matrikels2-0_PublicationVersion_20230816
148	Dailly	50.0575	4.4347	749		import from Matrikels2-0_PublicationVersion_20230816
149	Dalhem	50.71315	5.72774	749		import from Matrikels2-0_PublicationVersion_20230816
150	Dansuij			0		import from Matrikels2-0_PublicationVersion_20230816
151	Dave	50.4147	4.88789	749		import from Matrikels2-0_PublicationVersion_20230816
152	Deest	51.89	5.66667	0		import from Matrikels2-0_PublicationVersion_20230816
153	Deinze	50.98175	3.53096	749		import from Matrikels2-0_PublicationVersion_20230816
154	Delft	52.00667	4.35556	748		import from Matrikels2-0_PublicationVersion_20230816
155	Den Haag	52.07667	4.29861	0		import from Matrikels2-0_PublicationVersion_20230816
156	Dendermonde	51.02869	4.10106	749		import from Matrikels2-0_PublicationVersion_20230816
157	Denderwindeke	50.79731	4.02512	749		import from Matrikels2-0_PublicationVersion_20230816
158	Dessel	51.23855	5.11448	749		import from Matrikels2-0_PublicationVersion_20230816
159	Deurne	51.22134	4.46595	749		import from Matrikels2-0_PublicationVersion_20230816
160	Deux-Acren	50.73026	3.85315	749		import from Matrikels2-0_PublicationVersion_20230816
161	Dickeriensis			0		import from Matrikels2-0_PublicationVersion_20230816
162	Diest	50.98923	5.05062	749		import from Matrikels2-0_PublicationVersion_20230816
163	Dikkebus	50.82131	2.82873	749		import from Matrikels2-0_PublicationVersion_20230816
164	Diksmuide	51.03248	2.86384	0		import from Matrikels2-0_PublicationVersion_20230816
165	Dinant	50.25807	4.91166	749		import from Matrikels2-0_PublicationVersion_20230816
166	Doische	50.13356	4.73545	0		import from Matrikels2-0_PublicationVersion_20230816
167	Dongen	51.62667	4.93889	748		import from Matrikels2-0_PublicationVersion_20230816
168	Doornik	50.60715	3.38932	749		import from Matrikels2-0_PublicationVersion_20230816
