67	Bruffaudus Perlant	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
68	Bartholomeus de Zugeri Capella	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
69	Bartholomeus Hoern	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
70	Bertholdus Beke	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
71	Balduinus de Horiencort	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
72	Baltazar de Turnout	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
73	Balduwinus de Curia	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
74	Balduwinus Magistri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
75	Conrardus Corteman	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
76	Cornelius de Rymerswale	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
77	Cornelius de Tolnis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
78	Cornelius Jacobi	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
79	Cornelius Johannis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
80	Cornelius Stocmans	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
81	Cornelius Biesselinghe	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
82	Cornelius Petri Welsinghen	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
83	Cornelius Michaelis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
84	Cornelius Zeghens	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
85	Cornelius Barbitonsoris, alias Volder	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
86	Cornelius de Gandavo	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
87	Conrardus Heuwer	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
88	Cristianus de Canevere	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
89	Coletus Hugonis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
90	Cornelius Petri Hoesten	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
91	Cornelius Valke	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
92	Cornelius de Duvelandia	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
93	Cornelius Codin	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
94	Costinus Petri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
95	Conrardus de Mera	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
96	Cornelius de Capella	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
97	Cornelius de Hesben	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
98	Cornelius Victoris	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
99	Conrardus Rijcke	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
100	Cornelius Reyneri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
101	Cornelius Hulst	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
102	Cornelius Hupeler	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
103	Cornelius Wilhelmi Hyemis	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
104	Cornelius Ghiselberti de Burch	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
105	Cornelius Gerardi Walteri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
106	Corbellus de Houlgnyoul	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
107	Cornelius Petri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
108	Cristianus de Dixmuda	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
109	Conrardus Muntschilin	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
110	Conrardus de Trajecto	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
111	Cornelius Thome	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
112	Cornelius Petri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
113	Cornelius Petri Heinrici	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
114	Costinus Doggaert	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
115	Cornelius Baenst	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
116	Cornelius Scerpenisse	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
117	Daniel Fabri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
118	Daniel	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
119	Daniel de Blochem	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
120	Daniel Trabe	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
121	Daniel de Mera	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
122	Daniel Petri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
123	David Ogewy	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
124	Dyonisius Zilleken	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
125	Daniel de Molendino	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
126	Dancardus Godefridi	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
127	Daniel de Molendino	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
128	Duncanus Lychton	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
129	David Galet	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
130	Daniel de Ligno	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
131	Dodinus Magistri	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
132	Daniel de Nissa	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
133	David de Lyra	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
134	Egidius de Heylweghen	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
135	Egidius Senescalli	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
136	Egidius Egidii Hannaert	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
137	Egidius de Wemeldinghen, alias de Yrseke	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
138	Egidius Coet	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
139	Egidius Lille	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
140	Egidius Ranst	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
141	Egidius Vranxs	man	0	0	0	0	0	0	1426	1426	0	0		import from Matrikels2-0_PublicationVersion_20230816
